HND_ADJ;Indian;;;;;;;;x
HND_directorate;East India Company;;;;;;;;x
HND_hms_government;British Raj;;;;;;;x
country_reforms;Country reforms;;;;;;;;;;;;;;x
country_reforms_desc;We have reformed our country.;;;;;;;;;;;;;;x
democratic_nation;Democratic nation;;;;;;;;;;;;;;x
democratic_nation_desc;We have liberated our country.;;;;;;;;;;;;;;x
IBE;Iberian Union;;;;;;;;;;;;;x;;;;
IBE_ADJ;Iberian;;;;;;;;;;;;;x;;;;
IBE_absolute_monarchy;Carlist Union;;;;;;;;;;;;;x;;;;
IBE_prussian_constitutionalism;Iberian Union;;;;;;;;;;;;;x;;;;
IBE_hms_government;Iberian Union;;;;;;;;;;;;;x;;;;
IBE_presidential_dictatorship;Iberian Republic;;;;;;;;;;;;;x;;;;
IBE_bourgeois_dictatorship;Iberian Republic;;;;;;;;;;;;;x;;;;
IBE_democracy;Republic of Iberia;;;;;;;;;;;;;x;;;;
IBE_proletarian_dictatorship;Iberian Commune;;;;;;;;;;;;;x;;;;
IBE_fascist_dictatorship;Gran Hispania;;;;;;;;;;;;;x;;;;
form_iberia_title;Form Iberia;;;;;;;;;;;;;x;;;;
form_iberia_desc;Form Iberia;;;;;;;;;;;;;x;;;;
OTC;Ottoman Caliphate;;;;;;;;;;;;;x;;;;
OTC_ADJ;Ottoman;;;;;;;;;;;;;x;;;;
OTC_absolute_monarchy;Ottoman Caliphate;;;;;;;;;;;;;x;;;;
OTC_prussian_constitutionalism;Ottoman Caliphate;;;;;;;;;;;;;x;;;;
OTC_hms_government;Ottoman Caliphate;;;;;;;;;;;;;x;;;;
OTC_presidential_dictatorship;Greater Caliphate;;;;;;;;;;;;;x;;;;
OTC_bourgeois_dictatorship;Islamic Republic;;;;;;;;;;;;;x;;;;
OTC_democracy;Islamic Republic;;;;;;;;;;;;;x;;;;
OTC_proletarian_dictatorship;People's Caliphate;;;;;;;;;;;;;x;;;;
OTC_fascist_dictatorship;Islamic State;;;;;;;;;;;;;x;;;;
SAU;South American Union;;;;;;;;;;;;;x;;;;
SAU_ADJ;South American;;;;;;;;;;;;;x;;;;
SAU_absolute_monarchy;Latin Empire;;;;;;;;;;;;;x;;;;
SAU_prussian_constitutionalism;South American Union;;;;;;;;;;;;;x;;;;
SAU_hms_government;South American Union;;;;;;;;;;;;;x;;;;
SAU_presidential_dictatorship;Greater Latin Union;;;;;;;;;;;;;x;;;;
SAU_bourgeois_dictatorship;Republic of Latin America;;;;;;;;;;;;;x;;;;
SAU_democracy;Latin Union;;;;;;;;;;;;;x;;;;
SAU_proletarian_dictatorship;Worker's State of South America;;;;;;;;;;;;;x;;;;
SAU_fascist_dictatorship;Greater Latin Empire;;;;;;;;;;;;;x;;;;
BNX;United Netherlands;;;;;;;;;;;;;x;;;;
BNX_ADJ;United Dutch;;;;;;;;;;;;;x;;;;
BNX_absolute_monarchy;United Netherlands;;;;;;;;;;;;;x;;;;
BNX_prussian_constitutionalism;United Netherlands;;;;;;;;;;;;;x;;;;
BNX_hms_government;United Netherlands;;;;;;;;;;;;;x;;;;
BNX_presidential_dictatorship;Netherlands United Republic;;;;;;;;;;;;;x;;;;
BNX_bourgeois_dictatorship;Free United Netherlands;;;;;;;;;;;;;x;;;;
BNX_democracy;United Provinces;;;;;;;;;;;;;x;;;;
BNX_proletarian_dictatorship;United Netherlands Syndicates;;;;;;;;;;;;;x;;;;
BNX_fascist_dictatorship;Greater Netherlands;;;;;;;;;;;;;x;;;;
BEI;Beijing;;;;;;;;;;;;;x;;;;
BEI_ADJ;Chinese;;;;;;;;;;;;;x;;;;
FZH;Fuzhou;;;;;;;;;;;;;x;;;;
FZH_ADJ;Chinese;;;;;;;;;;;;;x;;;;
HKG;Hong Kong;;;;;;;;;;;;;x;;;;
HKG_ADJ;Chinese;;;;;;;;;;;;;x;;;;
MAC;Macau;;;;;;;;;;;;;x;;;;
MAC_ADJ;Chinese;;;;;;;;;;;;;x;;;;
NAN;Nanning;;;;;;;;;;;;;x;;;;
NAN_ADJ;Chinese;;;;;;;;;;;;;x;;;;
NGB;Nangbo;;;;;;;;;;;;;x;;;;
NGB_ADJ;Chinese;;;;;;;;;;;;;x;;;;
QNG;Qingdao;;;;;;;;;;;;;x;;;;
QNG_ADJ;Chinese;;;;;;;;;;;;;x;;;;
SHA;Shanghai;;;;;;;;;;;;;x;;;;
SHA_ADJ;Chinese;;;;;;;;;;;;;x;;;;
JAP_absolute_monarchy;Japan;;;;;;;;;;;;;x;;;;
JAP_prussian_constitutionalism;Japan;;;;;;;;;;;;;x;;;;
JAP_hms_government;Japan;;;;;;;;;;;;;x;;;;
JAP_presidential_dictatorship;Japan;;;;;;;;;;;;;x;;;;
JAP_bourgeois_dictatorship;Japan;;;;;;;;;;;;;x;;;;
JAP_democracy;Japan;;;;;;;;;;;;;x;;;;
JAP_proletarian_dictatorship;Union of Nippon;;;;;;;;;;;;;x;;;;
JAP_fascist_dictatorship;Empire of Japan;;;;;;;;;;;;;x;;;;
JAP_shogunate;Shogunate Japan;;;;;;;;;;;;;x;;;;
RUS_imperial;Tsardom of Russia;;;;;;;;;;;;;x;;;;
GER;German Empire;;;;;;;;;;;;;x;;;;
GER_ADJ;German Empire;;;;;;;;;;;;;x;;;;
GER_absolute_monarchy;German Empire;;;;;;;;;;;;;x;;;;
GER_prussian_constitutionalism;German Empire;;;;;;;;;;;;;x;;;;
GER_hms_government;German Empire;;;;;;;;;;;;;x;;;;
GER_presidential_dictatorship;Germany;;;;;;;;;;;;;x;;;;
GER_bourgeois_dictatorship;Germany;;;;;;;;;;;;;x;;;;
GER_democracy;Weimarer Republic;;;;;;;;;;;;;x;;;;
GER_proletarian_dictatorship;Socialist German Republic;;;;;;;;;;;;;x;;;;
GER_fascist_dictatorship;Third Reich;;;;;;;;;;;;;x;;;;
FRA_absolute_monarchy;French Empire;;;;;;;;;;;;;x;;;;
FRA_prussian_constitutionalism;French Empire;;;;;;;;;;;;;x;;;;
FRA_hms_government;France;;;;;;;;;;;;;x;;;;
FRA_presidential_dictatorship;France;;;;;;;;;;;;;x;;;;
FRA_bourgeois_dictatorship;France;;;;;;;;;;;;;x;;;;
FRA_democracy;French Republic;;;;;;;;;;;;;x;;;;
FRA_proletarian_dictatorship;Paris Commune;;;;;;;;;;;;;x;;;;
FRA_fascist_dictatorship;French State;;;;;;;;;;;;;x;;;;
ENG_proletarian_dictatorship;Union of Britain;;;;;;;;;;;;;x;;;;
ENG_fascist_dictatorship;British Union;;;;;;;;;;;;;x;;;;
ITA_absolute_monarchy;Kingdom of Italy;;;;;;;;;;;;;x;;;;
ITA_proletarian_dictatorship;Italian Union;;;;;;;;;;;;;x;;;;
ITA_fascist_dictatorship;Italian Social Republic;;;;;;;;;;;;;x;;;;
RUS_absolute_monarchy;Tsardom of Russia;;;;;;;;;;;;;x;;;;
RUS_prussian_constitutionalism;Tsardom of Russia;;;;;;;;;;;;;x;;;;
RUS_hms_government;Tsardom of Russia;;;;;;;;;;;;;x;;;;
RUS_presidential_dictatorship;Russian Republic;;;;;;;;;;;;;x;;;;
RUS_bourgeois_dictatorship;Russian Republic;;;;;;;;;;;;;x;;;;
RUS_democracy;Russian Republic;;;;;;;;;;;;;x;;;;
RUS_fascist_dictatorship;Russian Empire;;;;;;;;;;;;;x;;;;
AUS_absolute_monarchy;Austrian Empire;;;;;;;;;;;;;x;;;;
AUS_prussian_constitutionalism;Austrian Empire;;;;;;;;;;;;;x;;;;
AUS_hms_government;Austrian Empire;;;;;;;;;;;;;x;;;;
AUS_presidential_dictatorship;Austria Federal State;;;;;;;;;;;;;x;;;;
AUS_bourgeois_dictatorship;Austria Federal State;;;;;;;;;;;;;x;;;;
AUS_democracy;Austria Federal State;;;;;;;;;;;;;x;;;;
AUS_proletarian_dictatorship;Austrian Commune;;;;;;;;;;;;;x;;;;
AUS_fascist_dictatorship;Austrian Empire;;;;;;;;;;;;;x;;;;
KUK_absolute_monarchy;Austrian Empire;;;;;;;;;;;;;x;;;;
KUK_prussian_constitutionalism;Austrian Empire;;;;;;;;;;;;;x;;;;
KUK_hms_government;Austrian Empire;;;;;;;;;;;;;x;;;;
KUK_presidential_dictatorship;Austria Federal State;;;;;;;;;;;;;x;;;;
KUK_bourgeois_dictatorship;Austria Federal State;;;;;;;;;;;;;x;;;;
KUK_democracy;Austria Federal State;;;;;;;;;;;;;x;;;;
KUK_proletarian_dictatorship;Austrian Commune;;;;;;;;;;;;;x
KUK_fascist_dictatorship;Austrian Empire;;;;;;;;;;;;;x
MEC_HOLSTEIN;Holstein;Holstein;Holstein;;Holstein;;;;;;;;;x
HAM_HELGOLAND;Heligoland;Heligoland;Heligoland;;Heligoland;;;;;;;;;x
MEC_MECKLEMBURG;Mecklenburg;Mecklenburg;Mecklenburg;;Mecklenburg;;;;;;;;;x
PRU_VORPOMMERN;Vorpommern;Vorpommern;Vorpommern;;Vorpommern;;;;;;;;;x
SPA_BALEAREN;Balearen;Balearen;Balearen;;Balearen;;;;;;;;;x
modern_command_principle;Trained Leadership;;;;;;;;;;;;;x
modern_rifles;Modern Rifles;;;;;;;;;;;;;x
modern_fortifications;Starforts;;;;;;;;;;;;;x
modern_land_organisation;Reorganized Army;;;;;;;;;;;;;x
modern_guns;Modern Guns;;;;;;;;;;;;;x
traditional_navy;Traditional Navy;;;;;;;;;;;;;x
modern_naval_thought;Naval Schools;;;;;;;;;;;;;x
modern_ship_designs;Modern Ships;;;;;;;;;;;;;x
modern_export;Merchant Fleet;;;;;;;;;;;;;x
modern_naval_office;Naval Hierachy;;;;;;;;;;;;;x
modern_trade;Private Shipping;;;;;;;;;;;;;x
modern_machines;Modern Machines;;;;;;;;;;;;;x
modern_chemistry;Chemistry;;;;;;;;;;;;;x
modern_banks;Institutionalize Banking;;;;;;;;;;;;;x
modern_railroad;Import Railways;;;;;;;;;;;;;x
modern_administration;A New Administration;;;;;;;;;;;;;x
modern_education;Public Schools;;;;;;;;;;;;;x
modern_loan;Create National Bank;;;;;;;;;;;;;x
modern_theory;New Economic Theory;;;;;;;;;;;;x
modern_thought;Human Rights;;;;;;;;;;;;;x
reform_our_empire;Reform our Empire;;;;;;;;;;;;;;x
reform_our_empire_desc;We reformed our Empire into a modern state.;;;;;;;;;;;;;;x
we_need_to_move_forward_title;We need to move forward;;;;;;;;;;;;;;x
we_need_to_move_forward_desc;Scince the foundation of the Austrian Empire not really much happend internal, exept some small attemts in the napoleonic age to reform the bureaucratic system. Our administrative is today incapable to keep our great country in order, we have to reform it into a truely modern state.;;;;;;;;;;;;;;x
encourage_mining;Intensify Mining;;;;;;;;;;;;;;x
encourage_farming;Intensify Farming;;;;;;;;;;;;;;x
encourage_industry;Intensify Industry;;;;;;;;;;;;;;x
increase_living_standards;Increase living standards;;;;;;;;;;;;;;x
spirit_of_unification;Spirit of Unification;;;;;;;;;;;;;x;;;;
spirit_of_unification;Our people rejoice: At long last we stand united!;;;;;;;;;;;;;x;;;;
MAC_conservative;Imperial Faction;Faction impériale;Kaiserliche Fraktion;;Facción imperial;;;;;;;;;x;;;;
MAC_liberal;Reformers;Réformateurs;Reformer;;Reformistas;;;;;;;;;x;;;;
